id,name,country,last_monitoring_date,enrollment_target
SITE-001,Synthetic Research Center 001,US,2026-08-03,30
SITE-002,Synthetic Research Center 002,CA,2026-08-03,30
SITE-003,Synthetic Research Center 003,GB,2026-05-04,30
SITE-004,Synthetic Research Center 004,DE,2026-05-30,30
SITE-005,Synthetic Research Center 005,IN,2026-09-07,30
SITE-006,Synthetic Research Center 006,AU,2026-05-25,30
SITE-007,Synthetic Research Center 007,BR,2026-05-08,30
SITE-008,Synthetic Research Center 008,JP,2026-04-21,30
SITE-009,Synthetic Research Center 009,US,2026-05-24,30
SITE-010,Synthetic Research Center 010,CA,2026-06-21,30
SITE-011,Synthetic Research Center 011,GB,2026-05-09,30
SITE-012,Synthetic Research Center 012,DE,2026-06-16,30
SITE-013,Synthetic Research Center 013,IN,2026-04-27,30
SITE-014,Synthetic Research Center 014,AU,2026-07-31,30
SITE-015,Synthetic Research Center 015,BR,2026-06-01,30
SITE-016,Synthetic Research Center 016,JP,2026-06-06,30
SITE-017,Synthetic Research Center 017,US,2026-06-13,30
SITE-018,Synthetic Research Center 018,CA,2026-05-01,30
SITE-019,Synthetic Research Center 019,GB,2026-07-18,30
SITE-020,Synthetic Research Center 020,DE,2026-07-14,30
SITE-021,Synthetic Research Center 021,IN,2026-08-09,30
SITE-022,Synthetic Research Center 022,AU,2026-05-28,30
SITE-023,Synthetic Research Center 023,BR,2026-09-10,30
SITE-024,Synthetic Research Center 024,JP,2026-06-30,30
SITE-025,Synthetic Research Center 025,US,2026-08-10,30
SITE-026,Synthetic Research Center 026,CA,2026-05-29,30
SITE-027,Synthetic Research Center 027,GB,2026-07-06,30
SITE-028,Synthetic Research Center 028,DE,2026-07-20,30
SITE-029,Synthetic Research Center 029,IN,2026-06-20,30
SITE-030,Synthetic Research Center 030,AU,2026-06-14,30
SITE-031,Synthetic Research Center 031,BR,2026-07-27,30
SITE-032,Synthetic Research Center 032,JP,2026-09-03,30
SITE-033,Synthetic Research Center 033,US,2026-05-28,30
SITE-034,Synthetic Research Center 034,CA,2026-07-27,30
SITE-035,Synthetic Research Center 035,GB,2026-04-26,30
SITE-036,Synthetic Research Center 036,DE,2026-07-11,30
SITE-037,Synthetic Research Center 037,IN,2026-08-27,30
SITE-038,Synthetic Research Center 038,AU,2026-05-05,30
SITE-039,Synthetic Research Center 039,BR,2026-06-28,30
SITE-040,Synthetic Research Center 040,JP,2026-07-14,30
SITE-041,Synthetic Research Center 041,US,2026-07-21,30
SITE-042,Synthetic Research Center 042,CA,2026-05-31,30
SITE-043,Synthetic Research Center 043,GB,2026-08-06,30
SITE-044,Synthetic Research Center 044,DE,2026-06-18,30
SITE-045,Synthetic Research Center 045,IN,2026-06-26,30
SITE-046,Synthetic Research Center 046,AU,2026-07-09,30
SITE-047,Synthetic Research Center 047,BR,2026-06-18,30
SITE-048,Synthetic Research Center 048,JP,2026-06-17,30
SITE-049,Synthetic Research Center 049,US,2026-04-21,30
SITE-050,Synthetic Research Center 050,CA,2026-05-11,30
SITE-051,Synthetic Research Center 051,GB,2026-09-08,30
SITE-052,Synthetic Research Center 052,DE,2026-09-04,30
SITE-053,Synthetic Research Center 053,IN,2026-06-14,30
SITE-054,Synthetic Research Center 054,AU,2026-08-24,30
SITE-055,Synthetic Research Center 055,BR,2026-07-29,30
SITE-056,Synthetic Research Center 056,JP,2026-06-13,30
SITE-057,Synthetic Research Center 057,US,2026-06-10,30
SITE-058,Synthetic Research Center 058,CA,2026-07-08,30
SITE-059,Synthetic Research Center 059,GB,2026-09-10,30
SITE-060,Synthetic Research Center 060,DE,2026-06-28,30
SITE-061,Synthetic Research Center 061,IN,2026-08-22,30
SITE-062,Synthetic Research Center 062,AU,2026-08-05,30
SITE-063,Synthetic Research Center 063,BR,2026-09-02,30
SITE-064,Synthetic Research Center 064,JP,2026-07-12,30
SITE-065,Synthetic Research Center 065,US,2026-07-01,30
SITE-066,Synthetic Research Center 066,CA,2026-07-27,30
SITE-067,Synthetic Research Center 067,GB,2026-07-07,30
SITE-068,Synthetic Research Center 068,DE,2026-05-30,30
SITE-069,Synthetic Research Center 069,IN,2026-05-07,30
SITE-070,Synthetic Research Center 070,AU,2026-06-10,30
SITE-071,Synthetic Research Center 071,BR,2026-07-27,30
SITE-072,Synthetic Research Center 072,JP,2026-08-29,30
SITE-073,Synthetic Research Center 073,US,2026-06-17,30
SITE-074,Synthetic Research Center 074,CA,2026-05-10,30
SITE-075,Synthetic Research Center 075,GB,2026-05-15,30
SITE-076,Synthetic Research Center 076,DE,2026-06-12,30
